 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        37.7880         1.7040        40.2600         1.6350    00:00:00:17
     2        47.9840         1.4548        50.4100         1.3766    00:00:00:31
     3        53.2940         1.3243        55.3100         1.2651    00:00:00:45
     4        55.6180         1.2655        57.3100         1.2063    00:00:00:58
     5        56.8580         1.2197        58.5900         1.1652    00:00:01:12
     6        57.9340         1.2060        59.4700         1.1513    00:00:01:25
     7        58.4400         1.1894        59.9800         1.1398    00:00:01:39
     8        59.7000         1.1481        60.7900         1.0956    00:00:01:52
     9        61.3620         1.1024        63.7500         1.0377    00:00:02:06
    10        60.9220         1.1219        62.8200         1.0771    00:00:02:20
    11        61.8280         1.0955        64.3700         1.0348    00:00:02:34
    12        61.1380         1.1158        62.8200         1.0803    00:00:02:48
    13        62.7640         1.0640        63.9300         1.0390    00:00:03:01
    14        64.2260         1.0183        65.6600         0.9935    00:00:03:15
    15        63.2120         1.0607        65.0900         1.0150    00:00:03:28
    16        63.1620         1.0456        64.6800         1.0202    00:00:03:42
    17        64.6680         1.0110        65.4800         1.0096    00:00:03:56
    18        64.9820         0.9921        66.1300         0.9773    00:00:04:10
    19        66.0000         0.9798        66.6200         0.9765    00:00:04:23
    20        66.2700         0.9532        67.1700         0.9449    00:00:04:37
    21        66.8760         0.9461        67.7100         0.9443    00:00:04:51
