  iter           loss   elapsed_time
     0         2.3025    00:00:00:04
    10         2.3036    00:00:00:04
    20         2.2961    00:00:00:04
    30         2.2933    00:00:00:04
    40         2.2922    00:00:00:04
    50         2.2761    00:00:00:05
    60         2.2413    00:00:00:05
    70         2.1903    00:00:00:05
    80         2.0839    00:00:00:05
    90         2.0906    00:00:00:05
   100         2.0523    00:00:00:05
   110         2.0409    00:00:00:06
   120         2.0227    00:00:00:06
   130         2.0027    00:00:00:06
   140         1.9752    00:00:00:06
   150         2.0228    00:00:00:06
   160         1.9432    00:00:00:06
   170         1.9481    00:00:00:07
   180         1.8946    00:00:00:07
   190         1.8684    00:00:00:07
   200         1.7577    00:00:00:07
   210         1.8093    00:00:00:07
   220         1.9376    00:00:00:07
   230         1.7372    00:00:00:08
   240         1.6530    00:00:00:08
   250         1.6700    00:00:00:08
   260         1.7695    00:00:00:08
   270         1.7806    00:00:00:08
   280         1.6158    00:00:00:08
   290         1.8232    00:00:00:08
   300         1.9057    00:00:00:09
   310         1.8559    00:00:00:09
   320         1.8010    00:00:00:09
   330         1.6668    00:00:00:09
   340         1.7651    00:00:00:09
   350         1.6801    00:00:00:09
   360         1.6551    00:00:00:10
   370         1.6663    00:00:00:10
   380         1.7065    00:00:00:10
   390         1.8428    00:00:00:10
   391         1.9259    00:00:00:17
   401         1.4456    00:00:00:17
   411         1.5730    00:00:00:18
   421         1.6145    00:00:00:18
   431         1.5924    00:00:00:18
   441         1.6173    00:00:00:18
   451         1.6599    00:00:00:18
   461         1.5833    00:00:00:18
   471         1.4936    00:00:00:19
   481         1.5129    00:00:00:19
   491         1.5602    00:00:00:19
   501         1.6714    00:00:00:19
   511         1.7142    00:00:00:19
   521         1.5650    00:00:00:19
   531         1.4086    00:00:00:20
   541         1.4754    00:00:00:20
   551         1.7913    00:00:00:20
   561         1.5659    00:00:00:20
   571         1.5892    00:00:00:20
   581         1.5234    00:00:00:20
   591         1.4626    00:00:00:20
   601         1.4137    00:00:00:21
   611         1.5133    00:00:00:21
   621         1.4008    00:00:00:21
   631         1.4183    00:00:00:21
   641         1.4722    00:00:00:21
   651         1.5034    00:00:00:21
   661         1.6183    00:00:00:22
   671         1.4564    00:00:00:22
   681         1.5187    00:00:00:22
   691         1.6733    00:00:00:22
   701         1.4144    00:00:00:22
   711         1.5414    00:00:00:22
   721         1.4192    00:00:00:23
   731         1.5521    00:00:00:23
   741         1.4774    00:00:00:23
   751         1.4924    00:00:00:23
   761         1.5734    00:00:00:23
   771         1.2970    00:00:00:23
   781         1.5063    00:00:00:24
   782         1.3795    00:00:00:31
   792         1.4515    00:00:00:31
   802         1.4008    00:00:00:31
   812         1.4925    00:00:00:31
   822         1.4918    00:00:00:32
   832         1.4602    00:00:00:32
   842         1.5287    00:00:00:32
   852         1.4500    00:00:00:32
   862         1.3031    00:00:00:32
   872         1.3862    00:00:00:32
   882         1.3655    00:00:00:33
   892         1.3953    00:00:00:33
   902         1.5405    00:00:00:33
   912         1.4793    00:00:00:33
   922         1.4395    00:00:00:33
   932         1.4465    00:00:00:33
   942         1.3693    00:00:00:34
   952         1.3448    00:00:00:34
   962         1.3747    00:00:00:34
   972         1.4259    00:00:00:34
   982         1.5406    00:00:00:34
   992         1.3358    00:00:00:34
  1002         1.2878    00:00:00:34
  1012         1.5128    00:00:00:35
  1022         1.3933    00:00:00:35
  1032         1.4013    00:00:00:35
  1042         1.4940    00:00:00:35
  1052         1.4683    00:00:00:35
  1062         1.4351    00:00:00:35
  1072         1.4669    00:00:00:36
  1082         1.5069    00:00:00:36
  1092         1.3327    00:00:00:36
  1102         1.4122    00:00:00:36
  1112         1.4459    00:00:00:36
  1122         1.4098    00:00:00:36
  1132         1.2560    00:00:00:37
  1142         1.1633    00:00:00:37
  1152         1.3189    00:00:00:37
  1162         1.2695    00:00:00:37
  1172         1.2957    00:00:00:37
  1173         1.3760    00:00:00:45
  1183         1.3509    00:00:00:45
  1193         1.3233    00:00:00:45
  1203         1.3486    00:00:00:45
  1213         1.3162    00:00:00:45
  1223         1.2426    00:00:00:45
  1233         1.4747    00:00:00:46
  1243         1.3654    00:00:00:46
  1253         1.3505    00:00:00:46
  1263         1.3722    00:00:00:46
  1273         1.2837    00:00:00:46
  1283         1.3789    00:00:00:46
  1293         1.3736    00:00:00:47
  1303         1.2950    00:00:00:47
  1313         1.2405    00:00:00:47
  1323         1.3137    00:00:00:47
  1333         1.3554    00:00:00:47
  1343         1.4523    00:00:00:47
  1353         1.3367    00:00:00:48
  1363         1.3770    00:00:00:48
  1373         1.2862    00:00:00:48
  1383         1.3387    00:00:00:48
  1393         1.5358    00:00:00:48
  1403         1.3325    00:00:00:48
  1413         1.1393    00:00:00:49
  1423         1.4177    00:00:00:49
  1433         1.1807    00:00:00:49
  1443         1.4309    00:00:00:49
  1453         1.4377    00:00:00:49
  1463         1.3403    00:00:00:49
  1473         1.2589    00:00:00:50
  1483         1.2447    00:00:00:50
  1493         1.4900    00:00:00:50
  1503         1.2905    00:00:00:50
  1513         1.1919    00:00:00:50
  1523         1.4445    00:00:00:50
  1533         1.3605    00:00:00:50
  1543         1.4273    00:00:00:51
  1553         1.1427    00:00:00:51
  1563         1.2700    00:00:00:51
  1564         1.3662    00:00:00:58
  1574         1.2466    00:00:00:58
  1584         1.3673    00:00:00:59
  1594         1.3408    00:00:00:59
  1604         1.3593    00:00:00:59
  1614         1.3027    00:00:00:59
  1624         1.3179    00:00:00:59
  1634         1.3930    00:00:00:59
  1644         1.1734    00:00:00:59
  1654         1.4270    00:00:01:00
  1664         1.6017    00:00:01:00
  1674         1.4897    00:00:01:00
  1684         1.2810    00:00:01:00
  1694         1.2748    00:00:01:00
  1704         1.2830    00:00:01:00
  1714         1.3936    00:00:01:01
  1724         1.3285    00:00:01:01
  1734         1.4798    00:00:01:01
  1744         1.2358    00:00:01:01
  1754         1.3308    00:00:01:01
  1764         1.4268    00:00:01:01
  1774         1.4034    00:00:01:01
  1784         1.4110    00:00:01:02
  1794         1.2538    00:00:01:02
  1804         1.3500    00:00:01:02
  1814         1.1452    00:00:01:02
  1824         1.2996    00:00:01:02
  1834         1.1678    00:00:01:02
  1844         1.1782    00:00:01:03
  1854         1.5149    00:00:01:03
  1864         1.2431    00:00:01:03
  1874         1.2586    00:00:01:03
  1884         1.3002    00:00:01:03
  1894         1.2508    00:00:01:03
  1904         1.1473    00:00:01:04
  1914         1.3782    00:00:01:04
  1924         1.3676    00:00:01:04
  1934         1.2895    00:00:01:04
  1944         1.2369    00:00:01:04
  1954         1.1070    00:00:01:04
  1955         1.2807    00:00:01:12
  1965         1.1358    00:00:01:12
  1975         1.2938    00:00:01:12
  1985         1.4461    00:00:01:12
  1995         1.3323    00:00:01:12
  2005         1.2052    00:00:01:12
  2015         1.1969    00:00:01:13
  2025         1.1759    00:00:01:13
  2035         1.4418    00:00:01:13
  2045         1.4181    00:00:01:13
  2055         1.3016    00:00:01:13
  2065         1.2144    00:00:01:14
  2075         1.2461    00:00:01:14
  2085         1.2090    00:00:01:14
  2095         1.1021    00:00:01:14
  2105         1.2048    00:00:01:14
  2115         1.0483    00:00:01:14
  2125         1.4090    00:00:01:14
  2135         1.2506    00:00:01:15
  2145         1.3298    00:00:01:15
  2155         1.3878    00:00:01:15
  2165         1.3314    00:00:01:15
  2175         1.1665    00:00:01:15
  2185         1.3899    00:00:01:15
  2195         1.3616    00:00:01:16
  2205         1.2781    00:00:01:16
  2215         1.1524    00:00:01:16
  2225         1.2849    00:00:01:16
  2235         1.3465    00:00:01:16
  2245         1.2313    00:00:01:16
  2255         1.1283    00:00:01:17
  2265         1.2875    00:00:01:17
  2275         1.2856    00:00:01:17
  2285         1.1133    00:00:01:17
  2295         1.1466    00:00:01:17
  2305         1.1705    00:00:01:17
  2315         1.1002    00:00:01:18
  2325         1.2315    00:00:01:18
  2335         1.2241    00:00:01:18
  2345         1.2692    00:00:01:18
  2346         1.0853    00:00:01:25
  2356         1.1522    00:00:01:25
  2366         1.1004    00:00:01:26
  2376         1.2307    00:00:01:26
  2386         1.1243    00:00:01:26
  2396         1.3772    00:00:01:26
  2406         1.2121    00:00:01:26
  2416         1.3158    00:00:01:26
  2426         1.2577    00:00:01:27
  2436         1.3908    00:00:01:27
  2446         1.2410    00:00:01:27
  2456         1.1802    00:00:01:27
  2466         1.2529    00:00:01:27
  2476         1.1571    00:00:01:27
  2486         1.2276    00:00:01:28
  2496         1.0988    00:00:01:28
  2506         1.1676    00:00:01:28
  2516         1.2231    00:00:01:28
